,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
212,28,ANDHRA PRADESH,535,Medak,4477,Munpalle,0,Munpalle
213,28,ANDHRA PRADESH,535,Medak,4478,Pulkal,0,Pulkal
214,28,ANDHRA PRADESH,535,Medak,4479,Andole,0,Andole
215,28,ANDHRA PRADESH,535,Medak,4480,Kowdipalle,0,Kowdipalle
216,28,ANDHRA PRADESH,535,Medak,4481,Yeldurthy,0,Yeldurthy
217,28,ANDHRA PRADESH,535,Medak,4482,Tupran,0,Tupran
218,28,ANDHRA PRADESH,535,Medak,4483,Gajwel,0,Gajwel
219,28,ANDHRA PRADESH,535,Medak,4484,Jagdevpur,0,Jagdevpur
220,28,ANDHRA PRADESH,535,Medak,4485,Wargal,0,Wargal
221,28,ANDHRA PRADESH,535,Medak,4486,Mulug,0,Mulug
222,28,ANDHRA PRADESH,535,Medak,4487,Shivampet,0,Shivampet
223,28,ANDHRA PRADESH,535,Medak,4488,Narsapur,0,Narsapur
224,28,ANDHRA PRADESH,535,Medak,4489,Hathnoora,0,Hathnoora
225,28,ANDHRA PRADESH,535,Medak,4490,Sadasivpet,0,Sadasivpet
226,28,ANDHRA PRADESH,535,Medak,4490,Sadasivpet,802916,Sadasivpet (M + OG)
227,28,ANDHRA PRADESH,535,Medak,4490,Sadasivpet,802916,Sadasivpet (M)
228,28,ANDHRA PRADESH,535,Medak,4491,Kondapur,0,Kondapur
229,28,ANDHRA PRADESH,535,Medak,4492,Sangareddy,0,Sangareddy
230,28,ANDHRA PRADESH,535,Medak,4492,Sangareddy,802917,Sangareddy (M + OG)
231,28,ANDHRA PRADESH,535,Medak,4492,Sangareddy,802917,Sangareddy (M)
232,28,ANDHRA PRADESH,535,Medak,4493,Jinnaram,0,Jinnaram
233,28,ANDHRA PRADESH,535,Medak,4494,Patancheru,0,Patancheru
234,28,ANDHRA PRADESH,535,Medak,4494,Patancheru,802918,GHMC (M Corp. + OG) (Part)
235,28,ANDHRA PRADESH,535,Medak,4495,Ramachandrapuram,0,Ramachandrapuram
236,28,ANDHRA PRADESH,535,Medak,4495,Ramachandrapuram,802918,GHMC (M Corp. + OG) (Part)
237,28,ANDHRA PRADESH,535,Medak,4495,Ramachandrapuram,802918,GHMC (M Corp. + OG) (Part)
238,28,ANDHRA PRADESH,536,Hyderabad,0,Hyderabad,0,Hyderabad
239,28,ANDHRA PRADESH,536,Hyderabad,4496,Shaikpet,0,Shaikpet
240,28,ANDHRA PRADESH,536,Hyderabad,4496,Shaikpet,802918,GHMC (M Corp. + OG) (Part)
241,28,ANDHRA PRADESH,536,Hyderabad,4497,Ameerpet,0,Ameerpet
242,28,ANDHRA PRADESH,536,Hyderabad,4497,Ameerpet,802918,GHMC (M Corp. + OG) (Part)
243,28,ANDHRA PRADESH,536,Hyderabad,4498,Secunderabad,0,Secunderabad
244,28,ANDHRA PRADESH,536,Hyderabad,4498,Secunderabad,802918,GHMC (M Corp. + OG) (Part)
245,28,ANDHRA PRADESH,536,Hyderabad,4499,Tirumalagiri,0,Tirumalagiri
246,28,ANDHRA PRADESH,536,Hyderabad,4499,Tirumalagiri,802919,Secunderabad (CB)
247,28,ANDHRA PRADESH,536,Hyderabad,4500,Maredpalle,0,Maredpalle
248,28,ANDHRA PRADESH,536,Hyderabad,4500,Maredpalle,802918,GHMC (M Corp. + OG) (Part)
249,28,ANDHRA PRADESH,536,Hyderabad,4501,Musheerabad,0,Musheerabad
250,28,ANDHRA PRADESH,536,Hyderabad,4501,Musheerabad,802918,GHMC (M Corp. + OG) (Part)
251,28,ANDHRA PRADESH,536,Hyderabad,4502,Amberpet,0,Amberpet
252,28,ANDHRA PRADESH,536,Hyderabad,4502,Amberpet,802918,GHMC (M Corp. + OG) (Part)
253,28,ANDHRA PRADESH,536,Hyderabad,4503,Himayathnagar,0,Himayathnagar
254,28,ANDHRA PRADESH,536,Hyderabad,4503,Himayathnagar,802918,GHMC (M Corp. + OG) (Part)
255,28,ANDHRA PRADESH,536,Hyderabad,4504,Nampally,0,Nampally
256,28,ANDHRA PRADESH,536,Hyderabad,4504,Nampally,802918,GHMC (M Corp. + OG) (Part)
257,28,ANDHRA PRADESH,536,Hyderabad,4505,Khairatabad,0,Khairatabad
258,28,ANDHRA PRADESH,536,Hyderabad,4505,Khairatabad,802918,GHMC (M Corp. + OG) (Part)
259,28,ANDHRA PRADESH,536,Hyderabad,4506,Asifnagar,0,Asifnagar
260,28,ANDHRA PRADESH,536,Hyderabad,4506,Asifnagar,802918,GHMC (M Corp. + OG) (Part)
261,28,ANDHRA PRADESH,536,Hyderabad,4507,Golconda,0,Golconda
262,28,ANDHRA PRADESH,536,Hyderabad,4507,Golconda,802918,GHMC (M Corp. + OG) (Part)
263,28,ANDHRA PRADESH,536,Hyderabad,4508,Bahadurpura,0,Bahadurpura
264,28,ANDHRA PRADESH,536,Hyderabad,4508,Bahadurpura,802918,GHMC (M Corp. + OG) (Part)
265,28,ANDHRA PRADESH,536,Hyderabad,4509,Bandlaguda,0,Bandlaguda
266,28,ANDHRA PRADESH,536,Hyderabad,4509,Bandlaguda,802918,GHMC (M Corp. + OG) (Part)
267,28,ANDHRA PRADESH,536,Hyderabad,4510,Charminar,0,Charminar
268,28,ANDHRA PRADESH,536,Hyderabad,4510,Charminar,802918,GHMC (M Corp. + OG) (Part)
269,28,ANDHRA PRADESH,536,Hyderabad,4511,Saidabad,0,Saidabad
270,28,ANDHRA PRADESH,536,Hyderabad,4511,Saidabad,802918,GHMC (M Corp. + OG) (Part)
271,28,ANDHRA PRADESH,537,Rangareddy,0,Rangareddy,0,Rangareddy
272,28,ANDHRA PRADESH,537,Rangareddy,4512,Marpalle,0,Marpalle
273,28,ANDHRA PRADESH,537,Rangareddy,4513,Mominpet,0,Mominpet
274,28,ANDHRA PRADESH,537,Rangareddy,4514,Nawabpet,0,Nawabpet
275,28,ANDHRA PRADESH,537,Rangareddy,4515,Shankarpalle,0,Shankarpalle
276,28,ANDHRA PRADESH,537,Rangareddy,4516,Serilingampally,0,Serilingampally
277,28,ANDHRA PRADESH,537,Rangareddy,4516,Serilingampally,802918,GHMC (M Corp. + OG) (Part)
278,28,ANDHRA PRADESH,537,Rangareddy,4517,Balanagar,0,Balanagar
279,28,ANDHRA PRADESH,537,Rangareddy,4517,Balanagar,802918,GHMC (M Corp. + OG) (Part)
280,28,ANDHRA PRADESH,537,Rangareddy,4518,Qutubullapur,0,Qutubullapur
281,28,ANDHRA PRADESH,537,Rangareddy,4518,Qutubullapur,802918,GHMC (M Corp. + OG) (Part)
282,28,ANDHRA PRADESH,537,Rangareddy,4518,Qutubullapur,802918,GHMC (M Corp. + OG) (Part)
283,28,ANDHRA PRADESH,537,Rangareddy,4519,Medchal,0,Medchal
284,28,ANDHRA PRADESH,537,Rangareddy,4520,Shamirpet,0,Shamirpet
285,28,ANDHRA PRADESH,537,Rangareddy,4520,Shamirpet,802918,GHMC (M Corp. + OG) (Part)
286,28,ANDHRA PRADESH,537,Rangareddy,4521,Malkajgiri,0,Malkajgiri
287,28,ANDHRA PRADESH,537,Rangareddy,4521,Malkajgiri,802918,GHMC (M Corp. + OG) (Part)
288,28,ANDHRA PRADESH,537,Rangareddy,4521,Malkajgiri,802918,GHMC (M Corp. + OG) (Part)
289,28,ANDHRA PRADESH,537,Rangareddy,4522,Keesara,0,Keesara
290,28,ANDHRA PRADESH,537,Rangareddy,4522,Keesara,802918,GHMC (M Corp. + OG) (Part)
291,28,ANDHRA PRADESH,537,Rangareddy,4522,Keesara,802918,GHMC (M Corp. + OG) (Part)
292,28,ANDHRA PRADESH,537,Rangareddy,4523,Ghatkesar,0,Ghatkesar
293,28,ANDHRA PRADESH,537,Rangareddy,4523,Ghatkesar,802918,GHMC (M Corp. + OG) (Part)
294,28,ANDHRA PRADESH,537,Rangareddy,4523,Ghatkesar,802918,GHMC (M Corp. + OG) (Part)
295,28,ANDHRA PRADESH,537,Rangareddy,4524,Uppal,0,Uppal
296,28,ANDHRA PRADESH,537,Rangareddy,4524,Uppal,802918,GHMC (M Corp. + OG) (Part)
297,28,ANDHRA PRADESH,537,Rangareddy,4525,Hayathnagar,0,Hayathnagar
298,28,ANDHRA PRADESH,537,Rangareddy,4525,Hayathnagar,802918,GHMC (M Corp. + OG) (Part)
299,28,ANDHRA PRADESH,537,Rangareddy,4525,Hayathnagar,802918,GHMC (M Corp. + OG) (Part)
300,28,ANDHRA PRADESH,537,Rangareddy,4526,Saroornagar,0,Saroornagar
301,28,ANDHRA PRADESH,537,Rangareddy,4526,Saroornagar,802918,GHMC (M Corp. + OG) (Part)
302,28,ANDHRA PRADESH,537,Rangareddy,4526,Saroornagar,802918,GHMC (M Corp. + OG) (Part)
303,28,ANDHRA PRADESH,537,Rangareddy,4527,Rajendranagar,0,Rajendranagar
304,28,ANDHRA PRADESH,537,Rangareddy,4527,Rajendranagar,802918,GHMC (M Corp. + OG) (Part)
